Method,Species,count,mean,std,min,25%,50%,75%,max
Ab-initio,C. intestinalis (vase tunicate),13196.0,587.2378751136708,667.7400782859303,36.0,236.0,418.0,717.0,33420.0
Ab-initio,E. calabaricus (reedfish),78579.0,249.3383473956146,257.86712704084624,3.0,114.0,169.0,292.0,16208.0
Ab-initio,L. oculatus (spotted gar),36227.0,360.2722831037624,416.4378731410728,17.0,137.0,226.0,429.0,22541.0
Ab-initio,D. rerio (zebrafish),23288.0,572.593653383717,656.8341868052809,1.0,232.0,405.0,705.0,44005.0
Ab-initio,S. trutta (brown trout),51185.0,508.4745530917261,560.2881284733094,2.0,182.0,351.0,630.0,29370.0
Ab-initio,G. morhua (Atlantic cod),38909.0,425.78709296049755,474.3948876347141,7.0,151.0,289.0,526.0,21989.0
Ab-initio,E. naucrates (live sharksucker),25404.0,549.2795229097779,601.8092136635572,19.0,194.75,383.0,688.0,23170.0
Ab-initio,O. latipes (medaka fish),33024.0,453.04072795542635,544.6819669779629,66.0,157.0,298.0,558.0,33977.0
Ab-initio,X. tropicalis (western clawed frog),40554.0,442.5070523252947,542.0639465354426,41.0,154.0,303.0,530.0,35366.0
Ab-initio,P. muralis (wall lizard),34673.0,439.8338765033311,470.67626604039066,20.0,175.0,314.0,536.0,21610.0
Ab-initio,C. p. bellii (painted turtle),91991.0,293.6292680805731,297.0428681040019,5.0,140.0,211.0,341.0,21620.0
Ab-initio,G. gallus (chicken),18050.0,540.498836565097,611.9567002352368,28.0,216.0,376.0,665.0,37618.0
Ab-initio,T. guttata (zebra finch),16880.0,562.5037914691943,621.8097840444974,50.0,227.0,403.0,691.0,36758.0
Ab-initio,S. habroptila (kakapo),17022.0,551.1341205498767,608.5940169322009,49.0,216.0,389.0,672.0,32566.0
Ab-initio,O. anatinus (platypus),19661.0,500.8611972941356,541.0024943487107,10.0,188.0,345.0,613.0,16745.0
Ab-initio,S. harrisii (tasmanian devil),16843.0,578.7189336816482,628.4242314641995,60.0,241.0,402.0,711.0,36340.0
Ab-initio,P. sinus (vaquita),20209.0,505.28700084120936,577.4684817859859,17.0,185.0,345.0,626.0,35688.0
Ab-initio,F. catus (domestic cat),23355.0,473.00796403339757,568.2263542914411,2.0,165.0,315.0,579.0,36380.0
Ab-initio,M. musculus (house mouse),23548.0,503.71734329879393,566.0191306740404,66.0,189.0,334.0,612.0,27482.0
Ab-initio,H. sapiens (human),22780.0,498.9547848990342,581.1163838013748,66.0,185.0,339.0,606.0,37139.0
Ensembl,C. intestinalis (vase tunicate),16671.0,321.2409573510887,346.2298012727982,21.0,144.0,236.0,414.0,21338.0
Ensembl,E. calabaricus (reedfish),22329.0,501.03336468269964,449.19051691119904,17.0,240.0,387.0,606.0,8289.0
Ensembl,L. oculatus (spotted gar),18341.0,557.7303854751649,568.411046289529,30.0,256.0,413.0,675.0,32359.0
Ensembl,D. rerio (zebrafish),30313.0,516.7518886286412,485.414190114431,2.0,241.0,384.0,619.0,9786.0
Ensembl,S. trutta (brown trout),43935.0,531.4596335495619,465.75202201769144,18.0,254.0,409.0,645.0,8084.0
Ensembl,G. morhua (Atlantic cod),23515.0,533.5580693174569,467.9314062408236,18.0,257.0,414.0,654.0,7923.0
Ensembl,E. naucrates (live sharksucker),21655.0,525.9291156776726,457.097792995487,17.0,250.0,407.0,647.0,8621.0
Ensembl,O. latipes (medaka fish),23622.0,544.4301075268817,461.07693801289605,15.0,256.0,421.0,684.0,9615.0
Ensembl,X. tropicalis (western clawed frog),22107.0,551.2103406160944,508.1642344425346,20.0,267.0,411.0,674.0,10837.0
Ensembl,P. muralis (wall lizard),22062.0,532.1403317922219,461.98324908947905,22.0,248.0,414.0,674.0,6598.0
Ensembl,C. p. bellii (painted turtle),21186.0,495.6609081468895,471.3295042031753,18.0,216.0,365.0,598.0,8034.0
Ensembl,G. gallus (chicken),16878.0,542.7194572816685,499.3436110229324,4.0,247.0,412.0,665.0,8335.0
Ensembl,T. guttata (zebra finch),16619.0,572.8245381791925,505.9731774725406,25.0,272.0,441.0,706.0,7853.0
Ensembl,S. habroptila (kakapo),16037.0,534.1038847664776,488.3147987333674,20.0,248.0,407.0,651.0,7722.0
Ensembl,O. anatinus (platypus),17418.0,556.14232403261,498.4070366872517,22.0,269.25,420.0,675.0,7058.0
Ensembl,S. harrisii (tasmanian devil),19213.0,547.5389579971894,500.505625879527,13.0,268.0,410.0,666.0,8801.0
Ensembl,P. sinus (vaquita),18962.0,522.8261786731357,495.8947314484014,24.0,224.0,395.0,643.0,8798.0
Ensembl,F. catus (domestic cat),19588.0,541.1718399019808,504.864846344375,13.0,251.0,406.0,662.0,8747.0
Ensembl,M. musculus (house mouse),22867.0,513.3930554948179,489.15730597746517,3.0,236.0,374.0,620.0,8478.0
Ensembl,H. sapiens (human),23395.0,519.4426159435777,507.0651503223724,2.0,239.0,388.0,626.0,14507.0
NCBI,C. intestinalis (vase tunicate),13627.0,512.3479122330667,520.4874744255748,35.0,245.0,393.0,616.0,26404.0
NCBI,E. calabaricus (reedfish),22180.0,565.2517132551849,553.058383799512,31.0,274.0,427.0,676.0,31821.0
NCBI,L. oculatus (spotted gar),18784.0,571.355408858603,585.120741498942,31.0,267.0,420.0,682.0,32176.0
NCBI,D. rerio (zebrafish),28638.0,576.8313429708778,613.9990199508143,33.0,269.0,421.0,685.0,31468.0
NCBI,S. trutta (brown trout),42405.0,588.1055771725032,588.0286013730192,31.0,274.0,436.0,704.0,28033.0
NCBI,G. morhua (Atlantic cod),23485.0,603.7374920161806,613.7313062542439,31.0,286.0,448.0,729.0,32081.0
NCBI,E. naucrates (live sharksucker),21288.0,614.4320744081173,642.0270259952536,31.0,291.0,454.0,742.0,31060.0
NCBI,O. latipes (medaka fish),22071.0,605.4782293507317,624.5975000929013,31.0,286.0,447.0,728.0,31552.0
NCBI,X. tropicalis (western clawed frog),21826.0,559.7638596169705,582.0936129581042,31.0,263.0,409.0,664.0,33494.0
NCBI,P. muralis (wall lizard),21258.0,565.8155047511525,567.8212338293689,31.0,272.0,418.0,683.0,32705.0
NCBI,C. p. bellii (painted turtle),21090.0,544.1414414414414,572.6745615105563,31.0,256.0,395.0,643.0,37665.0
NCBI,G. gallus (chicken),17477.0,561.2585684041884,533.2207066098488,31.0,259.0,411.0,678.0,9175.0
NCBI,T. guttata (zebra finch),17438.0,588.963986695722,596.7133913738138,31.0,275.0,436.0,708.75,32811.0
NCBI,S. habroptila (kakapo),16060.0,596.8773349937734,611.7618992350065,31.0,279.0,441.0,716.0,31513.0
NCBI,O. anatinus (platypus),18200.0,577.6279120879121,594.4890438571175,31.0,275.0,423.0,692.25,34574.0
NCBI,S. harrisii (tasmanian devil),19966.0,572.0247921466492,582.1276184167958,31.0,287.0,419.0,686.0,34908.0
NCBI,P. sinus (vaquita),19069.0,563.8815354764278,583.3147730597271,35.0,259.0,421.0,683.0,34346.0
NCBI,F. catus (domestic cat),19748.0,565.020761596111,587.1480662045401,25.0,272.0,413.0,674.0,34733.0
NCBI,M. musculus (house mouse),21926.0,530.4484630119492,547.6443074588199,25.0,254.0,385.0,629.0,33467.0
NCBI,H. sapiens (human),20307.0,545.0099473088097,575.4776006296743,24.0,255.0,405.0,648.5,34350.0
"Reference proteomes
 UniProt",C. intestinalis (vase tunicate),16680.0,322.0287769784173,347.34111993767647,21.0,144.0,236.0,415.0,21338.0
"Reference proteomes
 UniProt",E. calabaricus (reedfish),22210.0,510.72710490769924,456.7733183248628,17.0,245.0,394.0,618.0,8289.0
"Reference proteomes
 UniProt",L. oculatus (spotted gar),18321.0,564.1376562414715,576.9595201809691,30.0,258.0,417.0,683.0,32359.0
"Reference proteomes
 UniProt",D. rerio (zebrafish),25707.0,538.2885984362237,561.7063040988845,9.0,248.0,397.0,644.0,29152.0
"Reference proteomes
 UniProt",S. trutta (brown trout),43230.0,560.6102475133009,500.38777532971653,18.0,263.0,427.0,681.75,8935.0
"Reference proteomes
 UniProt",G. morhua (Atlantic cod),23383.0,560.3197622204166,494.2307532626973,10.0,266.0,433.0,691.5,8280.0
"Reference proteomes
 UniProt",E. naucrates (live sharksucker),21548.0,547.8366901800631,481.47866914027287,17.0,255.0,420.0,679.0,8621.0
"Reference proteomes
 UniProt",O. latipes (medaka fish),23617.0,555.8028115340644,472.4153614586373,15.0,261.0,429.0,697.0,9615.0
"Reference proteomes
 UniProt",X. tropicalis (western clawed frog),22099.0,575.2230417665958,593.6324367657242,18.0,271.5,421.0,684.0,33494.0
"Reference proteomes
 UniProt",P. muralis (wall lizard),21928.0,546.0296424662532,479.538790577334,22.0,256.0,423.0,692.0,7046.0
"Reference proteomes
 UniProt",C. p. bellii (painted turtle),21164.0,508.3668021168021,485.39569356128845,18.0,220.0,375.0,615.0,8034.0
"Reference proteomes
 UniProt",G. gallus (chicken),18112.0,558.3783679328621,510.27430893343336,5.0,258.0,425.0,684.0,8377.0
"Reference proteomes
 UniProt",T. guttata (zebra finch),16489.0,597.3522954697071,521.8782373516614,25.0,288.0,462.0,734.0,7886.0
"Reference proteomes
 UniProt",S. habroptila (kakapo),16021.0,545.6752387491417,509.7288912020224,20.0,252.0,412.0,662.0,8784.0
"Reference proteomes
 UniProt",O. anatinus (platypus),17390.0,575.435825186889,516.8076931737332,22.0,282.0,433.5,701.0,8244.0
"Reference proteomes
 UniProt",S. harrisii (tasmanian devil),19171.0,566.0103802618538,515.0178841739431,13.0,279.0,424.0,689.0,8801.0
"Reference proteomes
 UniProt",P. sinus (vaquita),18892.0,536.7832415837391,509.3997129094888,24.0,230.0,405.0,662.0,8798.0
"Reference proteomes
 UniProt",F. catus (domestic cat),19652.0,563.9303887645024,554.0572328468893,13.0,264.0,423.0,690.0,27108.0
"Reference proteomes
 UniProt",M. musculus (house mouse),21984.0,533.4404112081514,573.5362383265189,5.0,245.75,383.0,641.0,35213.0
"Reference proteomes
 UniProt",H. sapiens (human),20598.0,553.6756481211768,598.4751940937731,2.0,246.0,411.0,666.0,34350.0
